Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
Doki Doki Literature Club Plus!,Team Salvato,2021,13.49,"Casual,Indie",0.96,12138,200000,500000
Age of Empires IV,"Relic Entertainment, World's Edge",2021,53.99,Strategy,0.88,20374,1000000,2000000
Dandy Ace,Mad Mimic,2021,9.99,"Action,Indie",0.9,577,20000,50000
The Last Campfire,Hello Games,2021,10.49,"Adventure,Indie",0.97,758,20000,50000
Dark Deity,Sword & Axe LLC,2021,17.49,"Adventure,Indie,RPG,Strategy",0.77,1385,100000,200000
Dreamscaper,Afterburner Studios,2021,17.49,"Action,Adventure,Indie,RPG",0.91,1760,20000,50000
ATOM RPG Trudograd,AtomTeam,2021,9.89,RPG,0.92,2001,100000,200000
Tails of Iron,Odd Bug Studio,2021,18.74,"Action,Adventure,Indie",0.91,2811,50000,100000
Knockout City,Velan Studios,2021,9.99,"Action,Adventure,Indie,Sports",0.89,4543,500000,1000000
Ruined King: A League of Legends Story,Airship Syndicate,2021,29.99,"Indie,RPG",0.89,6224,200000,500000
Impostor Factory,Freebird Games,2021,7.99,"Adventure,Indie,RPG",0.96,5983,50000,100000
Skul: The Hero Slayer,SouthPAW Games,2021,13.99,"Action,Indie,in Early Access",0.93,25976,500000,1000000
Time Commando,[2.21],2021,4.49,Action,1.0,13,500000,1000000
Super Magbot,Astral Pixel,2021,6.11,"Action,Adventure,Indie",0.91,74,0,20000
Golf Club Wasteland,Demagog Studio,2021,4.99,"Casual,Indie,Sports",0.87,264,50000,100000
The Artful Escape,Beethoven and Dinosaur,2021,14.99,"Action,Adventure,Indie",0.93,494,0,20000
Song in the Smoke,17-BIT,2021,29.99,"Action,Adventure,Simulation",0.81,11,0,20000
Midnight Protocol,LuGus Studios,2021,11.99,"Action,Indie,RPG,Strategy",0.96,75,0,20000
Time Loader,Flazm,2021,11.24,"Action,Adventure,Casual,Indie,Racing,Simulation",0.98,88,100000,200000
Ocean's Heart,Max Mraz,2021,8.99,"Action,Adventure,Indie,RPG",0.86,540,50000,100000
TOEM,Something We Made,2021,15.99,"Adventure,Casual,Indie",0.98,482,0,20000
The Life and Suffering of Sir Brante,Sever,2021,11.99,"Adventure,Indie,RPG,Simulation,Strategy",0.92,3082,100000,200000
F.I.S.T.: Forged In Shadow Torch,TiGames,2021,25.49,"Action,Adventure,Indie,RPG,Simulation,Sports",0.9,4077,200000,500000
Gloomhaven,Flaming Fowl Studios,2021,27.99,"Adventure,RPG,Strategy,in Early Access",0.87,7120,200000,500000
SCARLET NEXUS,BANDAI NAMCO Studios Inc.,2021,38.99,"Action,Adventure,RPG",0.86,6729,200000,500000
Hell Let Loose,Black Matter Pty Ltd,2021,26.79,"Action,Indie,Massively Multiplayer,Simulation,Strategy,in Early Access",0.86,39028,1000000,2000000
Imagine Earth,Serious Bros.,2021,14.99,"Indie,Simulation,Strategy,in Early Access",0.78,573,100000,200000
Grow: Song of the Evertree,Prideful Sloth,2021,19.99,"Action,Adventure,Casual",0.85,619,50000,100000
Lost in Random,"Zoink, Thunderful",2021,19.79,"Action,Adventure,Indie",0.93,704,0,20000
Happy Game,Amanita Design,2021,11.16,"Adventure,Casual,Indie",0.9,1027,20000,50000
Jupiter Hell,ChaosForge,2021,19.99,"Indie,RPG,Strategy,in Early Access",0.92,933,0,20000
